site,crit,browser,lt,fp,fcp,e
84,apple,0,chrome,1427,1317.8,1571,11.75040415
85,apple,0,chrome,1371,1272.4,1528.1,11.250734868
86,apple,0,chrome,1543,1425.4,1674,13.797779509
87,apple,0,chrome,1390,1263,1518.8,12.300323236
88,apple,0,chrome,1435,1275.5,1529.7,9.127699801
89,apple,0,chrome,1472,1266.4,1531.4,12.4324924005
90,apple,0,chrome,1419,1215.8,1451.2,9.8827728085
91,apple,0,firefox,1525,843.9,1161,24.7972798205
92,apple,0,firefox,1374,683.1,1051,35.1369811235
93,apple,0,firefox,1492,432.2,1156,36.9084961355
94,apple,0,firefox,1460,943.3,1093,30.8461021415
95,apple,0,firefox,1471,1117.1,1139,38.3457024425
96,apple,0,firefox,1623,1007.8,1217,36.5057463565
97,apple,0,firefox,1434,1276.5,1126,30.487395873
98,apple,0,firefox,1446,1454.3,1118,29.1618669455
99,apple,0,firefox,1509,369.3,1172,38.521715608
100,apple,0,firefox,2378,1494.9,1614,31.4463356555
101,deviantart,0,chrome,3156,1451.1,1451.1,5.2392473135
102,deviantart,0,chrome,3195,1636.8,1636.8,5.0423333215
103,deviantart,0,chrome,3165,1456.9,1456.9,8.9850926155
104,deviantart,0,chrome,3231,1466.6,1466.6,5.5384827635
105,deviantart,0,chrome,3142,1585.1,1585.1,8.5825776885
106,deviantart,0,chrome,3179,1428.6,1428.6,7.421133497
107,deviantart,0,chrome,3145,1588.6,1588.6,5.4077149915
108,deviantart,0,chrome,3106,1454.7,1454.7,7.9178517135
109,deviantart,0,chrome,3083,1436.7,1436.7,0.0933157575
110,deviantart,0,chrome,3220,1548.5,1548.5,10.5822431235
111,deviantart,0,firefox,4635,1771.5,2124,9.1533749345
112,deviantart,0,firefox,5699,978.9,1800,14.7744756645
113,deviantart,0,firefox,3664,1451.1,1149,5.2957140065
114,deviantart,0,firefox,4706,1722,2427,13.6567515255
115,deviantart,0,firefox,3845,1836.8,1065,14.899802958
116,deviantart,0,firefox,3640,1003.5,1233,7.2752607835
117,deviantart,0,firefox,3612,509.4,1276,12.307726124
118,deviantart,0,firefox,4676,705.7,1990,12.266532682
119,deviantart,0,firefox,4603,905.3,1863,11.8433331095
120,deviantart,0,firefox,4608,1909.6,2396,9.797335515
121,lencr,1,chrome,412,629.6,629.6,2.381455438
122,lencr,1,chrome,381,605,605,2.8637465475
123,lencr,1,chrome,426,660.5,660.5,6.0266755575
124,lencr,1,chrome,402,621,621,0.7601782895
125,lencr,1,chrome,616,1165.1,1165.1,5.367861668
126,lencr,1,chrome,395,625.4,625.4,2.8054853615
127,lencr,1,chrome,380,601.3,601.3,3.526906288
128,lencr,1,chrome,364,573.8,573.8,3.467880437
129,lencr,1,chrome,435,610.8,610.8,5.6398480475
130,lencr,1,chrome,424,723.6,723.6,0.8199152725
131,lencr,1,firefox,327,1845.1,316,5.008804858
132,lencr,1,firefox,350,1600.3,336,19.58014539
133,lencr,1,firefox,345,638.9,299,7.519394667
134,lencr,1,firefox,291,1384.3,245,8.7637266535
135,lencr,1,firefox,373,1039.8,327,13.4437431995
136,lencr,1,firefox,350,585.6,341,6.665214124
137,lencr,1,firefox,328,1880,313,5.1188984665
138,lencr,1,firefox,263,767,254,10.720827405
139,lencr,1,firefox,308,1390.2,263,5.302410797
140,lencr,1,firefox,362,987.6,302,10.0978098815
141,ietf,0,chrome,708,981.1,981.1,6.0079939275
142,ietf,0,chrome,642,978.9,978.9,10.1043579545
143,ietf,0,chrome,650,940.9,940.9,3.4931728175
144,ietf,0,chrome,648,943.3,943.3,3.0073611765
145,ietf,0,chrome,732,1030.9,1030.9,3.0635177765
146,ietf,0,chrome,679,1007.8,1007.8,3.006381087
147,ietf,0,chrome,644,938.2,938.2,2.864418403
148,ietf,0,chrome,673,957.6,957.6,3.372761972
149,ietf,0,chrome,663,952.1,952.1,2.569252999
150,ietf,0,chrome,650,950.2,950.2,2.790222916
151,ietf,0,firefox,578,1078.6,434,11.841259743
152,ietf,0,firefox,590,1384.3,452,10.469244224
153,ietf,0,firefox,576,2519.8,455,6.1774691715
154,ietf,0,firefox,592,1233.5,468,12.8603449195
155,ietf,0,firefox,712,2063.6,572,9.4947642155
156,ietf,0,firefox,573,637.4,428,12.3471645035
