,site,crit,browser,i,lt,fp,fcp,e
13_0_7,opendns,0,chrome,7,1261,1148.3,1148.3,19.175362519500005
13_0_8,opendns,0,chrome,8,1201,1255.8,1255.8,9.608463199
13_0_9,opendns,0,chrome,9,1163,1144.2,1144.2,10.337916791499998
13_1_0,opendns,0,firefox,0,1456,1403.1,1299,11.553412455
13_1_1,opendns,0,firefox,1,1468,394,1305,11.595511718
13_1_2,opendns,0,firefox,2,1496,1422.5,1340,10.081199359
13_1_3,opendns,0,firefox,3,1473,871.3,1255,9.057996434
13_1_4,opendns,0,firefox,4,1533,364.2,1340,10.621609844999998
13_1_5,opendns,0,firefox,5,1512,1066.6,1336,10.286380879
13_1_6,opendns,0,firefox,6,1496,1006.2,1335,8.380376461
13_1_7,opendns,0,firefox,7,1552,831.9,1407,11.1757001115
13_1_8,opendns,0,firefox,8,1484,1121.3,1268,12.5730159555
13_1_9,opendns,0,firefox,9,1562,1448.6,1445,15.833913556499995
14_0_0,unicef,0,chrome,0,1711,1605.4,1605.4,7.364702831999999
14_0_1,unicef,0,chrome,1,1785,1637.7,1637.7,8.990957250500001
14_0_2,unicef,0,chrome,2,1860,1711.7,1711.7,10.832043949
14_0_3,unicef,0,chrome,3,1743,1567.6,1567.6,8.815561692500001
14_0_4,unicef,0,chrome,4,1732,1556.5,1556.5,10.988566933
14_0_5,unicef,0,chrome,5,1753,1557.2,1557.2,9.0402555095
14_0_6,unicef,0,chrome,6,1759,1565.5,1565.5,10.9174836485
14_0_7,unicef,0,chrome,7,1772,1588.9,1588.9,10.1836748095
14_0_8,unicef,0,chrome,8,1731,1545.5,1545.5,11.3907873775
14_0_9,unicef,0,chrome,9,1819,1609.4,1609.4,12.1525431035
14_1_0,unicef,0,firefox,0,2684,730.6,2257,20.895601805
14_1_1,unicef,0,firefox,1,2770,875.5,2372,18.089860449
14_1_2,unicef,0,firefox,2,3764,826.4,3757,18.4208764865
14_1_3,unicef,0,firefox,3,2822,1565.5,2374,23.245467594
14_1_4,unicef,0,firefox,4,2739,1359.6,1821,14.6888707945
14_1_5,unicef,0,firefox,5,2757,1143.3,2336,18.899957371000003
14_1_6,unicef,0,firefox,6,2740,1545.5,2350,15.267169267499998
14_1_7,unicef,0,firefox,7,2679,1568.5,2676,18.2580871525
14_1_8,unicef,0,firefox,8,3856,1121.3,3391,16.204682176499997
14_1_9,unicef,0,firefox,9,2744,1121.3,2302,18.9827368305
15_0_0,bestbuy,0,chrome,0,856,394,394.1,8.5258212125
15_0_1,bestbuy,0,chrome,1,873,415.7,415.7,5.829812359
15_0_2,bestbuy,0,chrome,2,867,365.8,365.9,5.3296602995
15_0_3,bestbuy,0,chrome,3,884,491.5,491.5,2.547000977
15_0_4,bestbuy,0,chrome,4,838,352.5,352.5,6.5037356000000015
15_0_5,bestbuy,0,chrome,5,837,364.2,364.2,3.575118986500001
15_0_6,bestbuy,0,chrome,6,950,375.4,375.4,3.8584736755
15_0_7,bestbuy,0,chrome,7,869,483.7,483.7,4.724392538
15_0_8,bestbuy,0,chrome,8,831,373.6,373.6,3.0564133280000005
15_0_9,bestbuy,0,chrome,9,855,370.7,370.7,5.1270115875
15_1_0,bestbuy,0,firefox,0,858,1567.6,163,9.0069032235
15_1_1,bestbuy,0,firefox,1,795,470.2,199,10.940351648499998
15_1_2,bestbuy,0,firefox,2,1810,1179.3,194,10.674099899
15_1_3,bestbuy,0,firefox,3,820,1422.5,155,12.1547007885
15_1_4,bestbuy,0,firefox,4,877,1565.5,215,5.932381767
15_1_5,bestbuy,0,firefox,5,807,759.1,210,16.546880018999996
15_1_6,bestbuy,0,firefox,6,855,373.6,196,11.187273448500004
15_1_7,bestbuy,0,firefox,7,820,373.6,198,8.429589289999997
15_1_8,bestbuy,0,firefox,8,829,971.5,211,11.270663332
15_1_9,bestbuy,0,firefox,9,811,1568.5,184,8.903825267499998
16_0_0,applenews,0,chrome,0,1797,1529.9,1612.9,8.585760064
16_0_1,applenews,0,chrome,1,1896,1646.6,1727.3,5.245863868500002
16_0_2,applenews,0,chrome,2,1978,1895,1895,10.6439386555
16_0_3,applenews,0,chrome,3,1837,1416.2,1506.8,13.261503382
16_0_4,applenews,0,chrome,4,1929,1835.8,1835.8,13.385370363
16_0_5,applenews,0,chrome,5,1884,1778.3,1778.3,6.263671967
16_0_6,applenews,0,chrome,6,1726,1463.9,1562.9,11.198338907
16_0_7,applenews,0,chrome,7,1741,1479.3,1554.3,11.710115637
16_0_8,applenews,0,chrome,8,1937,1805.2,1805.2,9.856223114
16_0_9,applenews,0,chrome,9,1988,1884.5,1884.5,12.2009247155
16_1_0,applenews,0,firefox,0,1608,875.5,1525,18.5321958195
16_1_1,applenews,0,firefox,1,1590,365.8,1234,30.508364033
16_1_2,applenews,0,firefox,2,1700,871.3,1522,19.5663273175
16_1_3,applenews,0,firefox,3,1548,1175.8,1466,16.844318600499996
16_1_4,applenews,0,firefox,4,1601,364.2,1493,11.2427295865
