,site,crit,browser,i,lt,fp,fcp,e
0_0_0,jhu,1,chrome,0,1057,601.5,601.5,16.3965127105
0_0_1,jhu,1,chrome,1,1128,638,638,10.225569806
0_0_2,jhu,1,chrome,2,1050,634.1,634.1,11.188998527499995
0_0_3,jhu,1,chrome,3,1067,618.8,618.8,14.893079769499998
0_0_4,jhu,1,chrome,4,1013,593.8,593.8,12.099900042000002
0_0_5,jhu,1,chrome,5,931,612.2,612.2,13.9130490575
0_0_6,jhu,1,chrome,6,2353,907.8,907.8,12.011991338999998
0_0_7,jhu,1,chrome,7,1225,676.4,676.4,6.672032253500001
0_0_8,jhu,1,chrome,8,1179,669.2,669.2,11.913345216
0_0_9,jhu,1,chrome,9,1015,602.9,602.9,5.1096999965
0_1_0,jhu,1,firefox,0,1309,1188.7,753,23.4492794145
0_1_1,jhu,1,firefox,1,1268,1213.1,723,21.1088451155
0_1_2,jhu,1,firefox,2,2259,1123.5,1775,16.9855854255
0_1_3,jhu,1,firefox,3,1382,938.2,796,17.364901001
0_1_4,jhu,1,firefox,4,2226,395.5,1938,18.465187324999995
0_1_5,jhu,1,firefox,5,2960,1290.1,2091,17.191633413
0_1_6,jhu,1,firefox,6,2650,1874.6,1149,24.790401548499997
0_1_7,jhu,1,firefox,7,3040,1874.6,994,17.577852351000004
0_1_8,jhu,1,firefox,8,2374,1005.4,2013,20.191316514
0_1_9,jhu,1,firefox,9,2256,1144.3,1852,17.627329970499996
1_0_0,,,,,,,,7.191177733
1_0_1,,,,,,,,6.9712705345
1_0_2,,,,,,,,1.8664843225000003
1_0_3,,,,,,,,9.979904896
1_0_4,,,,,,,,9.97202943
1_0_5,,,,,,,,9.208275357999998
1_0_6,,,,,,,,8.306638266499998
1_0_7,,,,,,,,2.6364176785
1_0_8,,,,,,,,23.2758891725
1_0_9,,,,,,,,7.545330361
1_1_0,,,,,,,,18.642170981
1_1_1,,,,,,,,16.7272186585
1_1_2,,,,,,,,14.484217557
1_1_3,,,,,,,,20.305682710000003
1_1_4,,,,,,,,18.5963441675
1_1_5,,,,,,,,12.5979192445
1_1_6,,,,,,,,14.771697931
1_1_7,,,,,,,,23.826169462
1_1_8,,,,,,,,14.425502651
1_1_9,,,,,,,,22.427927221
2_0_0,mailchi,1,chrome,0,3319,1771.5,1771.5,14.800084021499998
2_0_1,mailchi,1,chrome,1,3168,1757.2,1757.2,13.735923353
2_0_2,mailchi,1,chrome,2,3302,1834.2,1834.2,13.806636654000002
2_0_3,mailchi,1,chrome,3,3187,1817.9,1817.9,12.092611779000002
2_0_4,mailchi,1,chrome,4,3226,1822.5,1822.5,12.281531631499998
2_0_5,mailchi,1,chrome,5,3042,1805,1805,8.309755067000001
2_0_6,mailchi,1,chrome,6,3630,1790.8,1790.8,10.3480383785
2_0_7,mailchi,1,chrome,7,3198,1880,1880,12.815719711
2_0_8,mailchi,1,chrome,8,3089,1800.7,1800.7,12.509431881
2_0_9,mailchi,1,chrome,9,3275,1764.9,1764.9,13.438999272500002
2_1_0,mailchi,1,firefox,0,4066,898.4,3424,25.1468940685
2_1_1,mailchi,1,firefox,1,3052,1121.8,2404,30.715713321
2_1_2,mailchi,1,firefox,2,3118,1215.6,2476,26.7231707045
2_1_3,mailchi,1,firefox,3,3203,1451.1,2520,20.6622588615
2_1_4,mailchi,1,firefox,4,4260,940.6,3550,28.3153826655
2_1_5,mailchi,1,firefox,5,3310,1007.8,2528,22.256830455
2_1_6,mailchi,1,firefox,6,3794,1272.4,3119,21.20885441
2_1_7,mailchi,1,firefox,7,4601,3448.2,3447,27.324596519
2_1_8,mailchi,1,firefox,8,4075,1144.3,3423,20.442164964
2_1_9,mailchi,1,firefox,9,4294,767,3621,17.7466373665
3_0_0,,,,,,,,14.646214699500002
3_0_1,,,,,,,,18.7231813525
3_0_2,,,,,,,,10.8422743455
3_0_3,,,,,,,,20.0265410435
3_0_4,,,,,,,,22.7192314245
3_0_5,,,,,,,,20.141870981000004
3_0_6,,,,,,,,15.1917590595
3_0_7,,,,,,,,15.899796371
3_0_8,,,,,,,,12.584343925
3_0_9,,,,,,,,9.7594812595
3_1_0,,,,,,,,20.516894392999998
3_1_1,,,,,,,,31.4769217815
3_1_2,,,,,,,,9.3188718215
3_1_3,,,,,,,,9.3837079055
3_1_4,,,,,,,,11.4116328105
3_1_5,,,,,,,,14.608807988
3_1_6,,,,,,,,14.6776973975
3_1_7,,,,,,,,16.156473285
3_1_8,,,,,,,,9.6845871705
3_1_9,,,,,,,,20.174158692
4_0_0,playstation,0,chrome,0,5540,4995.5,4995.5,12.8550690105
4_0_1,playstation,0,chrome,1,5392,4837.7,4837.7,23.203160051
4_0_2,playstation,0,chrome,2,5785,5133.1,5133.1,10.352788168499998
4_0_3,playstation,0,chrome,3,5426,4883.9,4883.9,25.843442445500003
4_0_4,playstation,0,chrome,4,5699,4885.7,4885.7,11.1871326415
4_0_5,playstation,0,chrome,5,5479,4957.9,4957.9,19.6497083015
4_0_6,playstation,0,chrome,6,8326,6516.9,6516.9,9.171342035
4_0_7,playstation,0,chrome,7,5470,4932.6,4932.6,7.7342208005
4_0_8,playstation,0,chrome,8,5531,5001.2,5001.2,14.703703851
4_0_9,playstation,0,chrome,9,5429,4875.4,4875.4,18.4461665645
4_1_0,playstation,0,firefox,0,5217,1187.4,4502,29.293222371
4_1_1,playstation,0,firefox,1,6857,640.4,6727,34.606278743000004
4_1_2,playstation,0,firefox,2,5240,640.4,4629,26.7632002615
4_1_3,playstation,0,firefox,3,4787,815.4,4663,34.7394743395
4_1_4,playstation,0,firefox,4,4917,505.7,4805,29.945491194
4_1_5,playstation,0,firefox,5,9522,415.3,9346,30.45006383150001
4_1_6,playstation,0,firefox,6,5839,941,5722,9.0905498325
4_1_7,playstation,0,firefox,7,5892,1388.2,5740,39.0096927985
4_1_8,playstation,0,firefox,8,6219,1732,5708,33.7869378005
4_1_9,playstation,0,firefox,9,5245,1232.2,4621,30.2235059895
5_0_0,loc,0,chrome,0,4224,1596.6,1596.6,6.769829190499999
5_0_1,loc,0,chrome,1,4236,1458.1,1458.1,9.380604292
5_0_2,loc,0,chrome,2,4271,1600.3,1600.3,5.942257564
5_0_3,loc,0,chrome,3,4208,1427.3,1427.3,9.831155995
5_0_4,loc,0,chrome,4,4210,1598.1,1598.1,0.5347003349999999
5_0_5,loc,0,chrome,5,4293,1626.9,1626.9,4.033919869
5_0_6,loc,0,chrome,6,4239,1490.3,1490.3,14.624831308999998
5_0_7,loc,0,chrome,7,4266,1628.9,1628.9,6.990785743
5_0_8,loc,0,chrome,8,4214,1454.3,1454.3,5.100787830000001
5_0_9,loc,0,chrome,9,4331,1615.6,1615.6,12.8740915005
5_1_0,loc,0,firefox,0,4212,998.2,1101,8.231533349
5_1_1,loc,0,firefox,1,5289,1600.3,1786,12.780048791
5_1_2,loc,0,firefox,2,4316,1306.1,1069,15.508563726
5_1_3,loc,0,firefox,3,4033,683.1,1132,10.492070826
5_1_4,loc,0,firefox,4,4322,4995.5,986,11.900511531
5_1_5,loc,0,firefox,5,4314,1213.1,1141,13.761227476
5_1_6,loc,0,firefox,6,4289,1002.9,1017,10.6537473425
5_1_7,loc,0,firefox,7,4479,1242.6,1248,12.840953914000002
5_1_8,loc,0,firefox,8,4564,1333.9,1845,8.996600632
5_1_9,loc,0,firefox,9,2703,1055.8,1145,11.0482757245
6_0_0,apple,0,chrome,0,1406,1177.7,1456.3,13.254563385
6_0_1,apple,0,chrome,1,1377,1276.5,1527.5,10.7136633115
6_0_2,apple,0,chrome,2,1420,1315.8,1579,11.250277382
6_0_3,apple,0,chrome,3,1427,1317.8,1571,11.75040415
6_0_4,apple,0,chrome,4,1371,1272.4,1528.1,11.250734868
6_0_5,apple,0,chrome,5,1543,1425.4,1674,13.797779508999998
6_0_6,apple,0,chrome,6,1390,1263,1518.8,12.300323236
6_0_7,apple,0,chrome,7,1435,1275.5,1529.7,9.127699801000002
6_0_8,apple,0,chrome,8,1472,1266.4,1531.4,12.4324924005
6_0_9,apple,0,chrome,9,1419,1215.8,1451.2,9.8827728085
6_1_0,apple,0,firefox,0,1525,843.9,1161,24.7972798205
6_1_1,apple,0,firefox,1,1374,683.1,1051,35.13698112350001
6_1_2,apple,0,firefox,2,1492,432.2,1156,36.9084961355
6_1_3,apple,0,firefox,3,1460,943.3,1093,30.8461021415
6_1_4,apple,0,firefox,4,1471,1117.1,1139,38.34570244249999
6_1_5,apple,0,firefox,5,1623,1007.8,1217,36.5057463565
6_1_6,apple,0,firefox,6,1434,1276.5,1126,30.487395873
6_1_7,apple,0,firefox,7,1446,1454.3,1118,29.161866945500005
6_1_8,apple,0,firefox,8,1509,369.3,1172,38.52171560800001
6_1_9,apple,0,firefox,9,2378,1494.9,1614,31.4463356555
7_0_0,deviantart,0,chrome,0,3156,1451.1,1451.1,5.239247313499999
7_0_1,deviantart,0,chrome,1,3195,1636.8,1636.8,5.0423333215
7_0_2,deviantart,0,chrome,2,3165,1456.9,1456.9,8.985092615500001
7_0_3,deviantart,0,chrome,3,3231,1466.6,1466.6,5.538482763500001
7_0_4,deviantart,0,chrome,4,3142,1585.1,1585.1,8.5825776885
7_0_5,deviantart,0,chrome,5,3179,1428.6,1428.6,7.421133496999999
7_0_6,deviantart,0,chrome,6,3145,1588.6,1588.6,5.4077149915
7_0_7,deviantart,0,chrome,7,3106,1454.7,1454.7,7.917851713499997
7_0_8,deviantart,0,chrome,8,3083,1436.7,1436.7,0.0933157575
7_0_9,deviantart,0,chrome,9,3220,1548.5,1548.5,10.5822431235
7_1_0,deviantart,0,firefox,0,4635,1771.5,2124,9.153374934500002
7_1_1,deviantart,0,firefox,1,5699,978.9,1800,14.7744756645
7_1_2,deviantart,0,firefox,2,3664,1451.1,1149,5.295714006500001
7_1_3,deviantart,0,firefox,3,4706,1722,2427,13.656751525499995
7_1_4,deviantart,0,firefox,4,3845,1836.8,1065,14.899802958
7_1_5,deviantart,0,firefox,5,3640,1003.5,1233,7.2752607835
7_1_6,deviantart,0,firefox,6,3612,509.4,1276,12.307726124
7_1_7,deviantart,0,firefox,7,4676,705.7,1990,12.266532682
7_1_8,deviantart,0,firefox,8,4603,905.3,1863,11.8433331095
7_1_9,deviantart,0,firefox,9,4608,1909.6,2396,9.797335515
8_0_0,lencr,1,chrome,0,412,629.6,629.6,2.381455438
8_0_1,lencr,1,chrome,1,381,605,605,2.8637465474999986
8_0_2,lencr,1,chrome,2,426,660.5,660.5,6.026675557500001
8_0_3,lencr,1,chrome,3,402,621,621,0.7601782895
8_0_4,lencr,1,chrome,4,616,1165.1,1165.1,5.367861667999999
8_0_5,lencr,1,chrome,5,395,625.4,625.4,2.805485361500001
8_0_6,lencr,1,chrome,6,380,601.3,601.3,3.526906288
8_0_7,lencr,1,chrome,7,364,573.8,573.8,3.467880437
8_0_8,lencr,1,chrome,8,435,610.8,610.8,5.6398480475
8_0_9,lencr,1,chrome,9,424,723.6,723.6,0.8199152725000001
8_1_0,lencr,1,firefox,0,327,1845.1,316,5.008804858
8_1_1,lencr,1,firefox,1,350,1600.3,336,19.58014539
8_1_2,lencr,1,firefox,2,345,638.9,299,7.5193946669999985
8_1_3,lencr,1,firefox,3,291,1384.3,245,8.7637266535
8_1_4,lencr,1,firefox,4,373,1039.8,327,13.443743199499998
8_1_5,lencr,1,firefox,5,350,585.6,341,6.665214124
8_1_6,lencr,1,firefox,6,328,1880,313,5.118898466499999
8_1_7,lencr,1,firefox,7,263,767,254,10.720827405
8_1_8,lencr,1,firefox,8,308,1390.2,263,5.302410796999999
8_1_9,lencr,1,firefox,9,362,987.6,302,10.097809881499998
9_0_0,ietf,0,chrome,0,708,981.1,981.1,6.007993927499999
9_0_1,ietf,0,chrome,1,642,978.9,978.9,10.104357954500005
