,site,crit,browser,i,lt,fp,fcp,e
9_0_2,ietf,0,chrome,2,650,940.9,940.9,3.4931728175
9_0_3,ietf,0,chrome,3,648,943.3,943.3,3.0073611765
9_0_4,ietf,0,chrome,4,732,1030.9,1030.9,3.0635177765
9_0_5,ietf,0,chrome,5,679,1007.8,1007.8,3.0063810870000003
9_0_6,ietf,0,chrome,6,644,938.2,938.2,2.864418403
9_0_7,ietf,0,chrome,7,673,957.6,957.6,3.372761971999999
9_0_8,ietf,0,chrome,8,663,952.1,952.1,2.569252999
9_0_9,ietf,0,chrome,9,650,950.2,950.2,2.790222915999999
9_1_0,ietf,0,firefox,0,578,1078.6,434,11.841259743
9_1_1,ietf,0,firefox,1,590,1384.3,452,10.469244224
9_1_2,ietf,0,firefox,2,576,2519.8,455,6.1774691715
9_1_3,ietf,0,firefox,3,592,1233.5,468,12.8603449195
9_1_4,ietf,0,firefox,4,712,2063.6,572,9.494764215500002
9_1_5,ietf,0,firefox,5,573,637.4,428,12.3471645035
9_1_6,ietf,0,firefox,6,637,1794.4,516,9.27234589
9_1_7,ietf,0,firefox,7,675,610.1,609,6.178880131
9_1_8,ietf,0,firefox,8,623,888.7,509,10.140744041
9_1_9,ietf,0,firefox,9,619,822.1,549,8.361093561
10_0_0,xnxx,0,chrome,0,2019,1563.4,1563.4,19.213072277
10_0_1,xnxx,0,chrome,1,2093,1681.6,1681.6,22.0632494495
10_0_2,xnxx,0,chrome,2,2123,1665.6,1665.6,27.151636984
10_0_3,xnxx,0,chrome,3,2018,1560.3,1560.3,5.553242813500001
10_0_4,xnxx,0,chrome,4,2095,1671.4,1671.4,29.248899688
10_0_5,xnxx,0,chrome,5,3246,2219.5,2219.5,21.295350794500003
10_0_6,xnxx,0,chrome,6,3318,2272.5,2272.5,19.103506303500005
10_0_7,xnxx,0,chrome,7,1987,1580,1580,13.025738546
10_0_8,xnxx,0,chrome,8,1972,1499,1499,7.285236675499999
10_0_9,xnxx,0,chrome,9,2131,1702.8,1702.8,21.152862046
10_1_0,xnxx,0,firefox,0,1692,419.3,1601,28.102293463999995
10_1_1,xnxx,0,firefox,1,1586,2084.7,1504,95.47354288500004
10_1_2,xnxx,0,firefox,2,1772,900.3,1664,41.1645784895
10_1_3,xnxx,0,firefox,3,1653,2547.4,1567,69.92422763999998
10_1_4,xnxx,0,firefox,4,1656,1490.3,1584,69.0575418265
10_1_5,xnxx,0,firefox,5,1723,805.3,1632,81.9558896955
10_1_6,xnxx,0,firefox,6,1700,740.1,1606,103.887608041
10_1_7,xnxx,0,firefox,7,1662,975.6,1566,96.2686446775
10_1_8,xnxx,0,firefox,8,1884,1187.9,1793,116.8338534765
10_1_9,xnxx,0,firefox,9,1851,1479.6,1784,71.4861324625
11_0_0,playstation,1,chrome,0,3470,2490.8,2490.8,20.9451233215
11_0_1,playstation,1,chrome,1,3638,2552.4,2552.4,20.2380439795
11_0_2,playstation,1,chrome,2,3580,2519.8,2519.8,17.4424715385
11_0_3,playstation,1,chrome,3,3576,2818.8,2818.8,18.7061773915
11_0_4,playstation,1,chrome,4,3555,2551.2,2551.2,18.6181301425
11_0_5,playstation,1,chrome,5,3618,2538.1,2538.1,17.33827994
11_0_6,playstation,1,chrome,6,3398,2522.5,2522.5,20.1472537995
11_0_7,playstation,1,chrome,7,3478,2607.1,2607.1,17.8079556415
11_0_8,playstation,1,chrome,8,3445,2501.2,2501.2,16.847284321
11_0_9,playstation,1,chrome,9,3458,2425.4,2425.4,18.423423504
11_1_0,playstation,1,firefox,0,4740,2536.2,4571,32.166010842999995
11_1_1,playstation,1,firefox,1,3622,902,3486,37.5403035455
11_1_2,playstation,1,firefox,2,3860,2547.4,3655,42.1973018055
11_1_3,playstation,1,firefox,3,5766,1367.7,5599,27.441469106
11_1_4,playstation,1,firefox,4,4444,1367.7,4317,35.90507871449999
11_1_5,playstation,1,firefox,5,3655,1261.9,3523,28.485133209499995
11_1_6,playstation,1,firefox,6,3727,786.1,3568,24.913415913
11_1_7,playstation,1,firefox,7,3861,4875.4,3672,37.64578255400001
11_1_8,playstation,1,firefox,8,3734,1092.5,3566,39.3511147685
11_1_9,playstation,1,firefox,9,3599,959.4,3448,35.947608992
12_0_0,ed,0,chrome,0,819,1082.7,1082.7,4.4631428505
12_0_1,ed,0,chrome,1,835,1093.2,1093.2,4.124112629500001
12_0_2,ed,0,chrome,2,830,1076.7,1076.7,5.402783018499999
12_0_3,ed,0,chrome,3,1727,2004.2,2004.2,5.7666793235
12_0_4,ed,0,chrome,4,866,1011.8,1011.8,4.2639900525
12_0_5,ed,0,chrome,5,868,1019.2,1019.2,4.312037857
12_0_6,ed,0,chrome,6,806,958.8,958.8,4.5948642725
12_0_7,ed,0,chrome,7,828,975.6,975.6,4.986329343
12_0_8,ed,0,chrome,8,817,1074.1,1074.1,2.6047084735
12_0_9,ed,0,chrome,9,805,959.4,959.4,3.277317778999999
12_1_0,ed,0,firefox,0,794,516,781,14.2715413595
12_1_1,ed,0,firefox,1,759,2536.2,744,11.136280332499998
12_1_2,ed,0,firefox,2,806,769.9,669,5.9352237930000005
12_1_3,ed,0,firefox,3,731,2280,721,10.8128484315
12_1_4,ed,0,firefox,4,756,1733.4,633,11.580714778499996
12_1_5,ed,0,firefox,5,793,766.3,780,9.6118673975
12_1_6,ed,0,firefox,6,750,4837.7,736,11.187932731500002
12_1_7,ed,0,firefox,7,931,1049,917,9.772882093
12_1_8,ed,0,firefox,8,819,1422.5,676,9.5851787035
12_1_9,ed,0,firefox,9,801,670.3,663,7.604139522
13_0_0,deviantart,1,chrome,0,3213,757.6,757.6,7.0034696940000005
13_0_1,deviantart,1,chrome,1,3169,843.9,843.9,9.480123145
13_0_2,deviantart,1,chrome,2,3200,763.6,763.6,11.7937063825
13_0_3,deviantart,1,chrome,3,3135,769.9,769.9,8.5936416075
13_0_4,deviantart,1,chrome,4,3185,777.7,777.7,8.3147958815
13_0_5,deviantart,1,chrome,5,3189,791.1,791.1,12.747384140499998
13_0_6,deviantart,1,chrome,6,4832,1515.4,1515.4,6.278735225499999
13_0_7,deviantart,1,chrome,7,3203,876.4,876.4,7.314910241000001
13_0_8,deviantart,1,chrome,8,3130,745.1,745.1,7.115395164
13_0_9,deviantart,1,chrome,9,3201,708.7,708.7,9.527587546
13_1_0,deviantart,1,firefox,0,3963,629.6,335,21.0797306395
13_1_1,deviantart,1,firefox,1,3887,1163,337,8.8721884805
13_1_2,deviantart,1,firefox,2,5784,945.6,1536,9.0731109675
13_1_3,deviantart,1,firefox,3,4871,933.1,278,8.6703216665
13_1_4,deviantart,1,firefox,4,4857,2552.2,484,10.157169242499998
13_1_5,deviantart,1,firefox,5,5946,682.2,704,21.122619838
13_1_6,deviantart,1,firefox,6,3862,1414.6,785,13.457585901999998
13_1_7,deviantart,1,firefox,7,3996,825,622,8.103068273
13_1_8,deviantart,1,firefox,8,4880,550.1,475,17.454351669
13_1_9,deviantart,1,firefox,9,4791,1059.5,1735,11.378491505
14_0_0,csdn,0,chrome,0,1313,698.3,698.3,3.6318646855
14_0_1,csdn,0,chrome,1,1414,806.4,806.4,5.7140075475000005
14_0_2,csdn,0,chrome,2,1491,989.8,989.8,11.142038372999998
14_0_3,csdn,0,chrome,3,1485,880.8,880.8,4.557748169499999
14_0_4,csdn,0,chrome,4,1406,773.1,773.1,9.111637483
14_0_5,csdn,0,chrome,5,1338,897.2,897.2,6.284372955
14_0_6,csdn,0,chrome,6,1396,825.9,825.9,1.7438222235000005
14_0_7,csdn,0,chrome,7,1420,1003.5,1003.5,6.372291479499999
14_0_8,csdn,0,chrome,8,1342,736.2,736.2,10.1777467935
14_0_9,csdn,0,chrome,9,1702,826.1,826.1,6.376302867500001
14_1_0,csdn,0,firefox,0,1132,2490.8,929,19.204058975999995
14_1_1,csdn,0,firefox,1,1177,516,602,11.905690773
14_1_2,csdn,0,firefox,2,1004,1376.1,421,18.194261940000004
14_1_3,csdn,0,firefox,3,870,1384.3,738,15.1735472095
14_1_4,csdn,0,firefox,4,903,1033.9,443,11.1868297095
14_1_5,csdn,0,firefox,5,903,901,457,11.900473340999998
14_1_6,csdn,0,firefox,6,1048,900.3,464,17.2514977385
14_1_7,csdn,0,firefox,7,1094,1007.8,416,13.9278100705
14_1_8,csdn,0,firefox,8,1020,1491.6,398,10.3634337705
14_1_9,csdn,0,firefox,9,880,733.3,446,8.8874425125
15_0_0,adsrvr,0,chrome,0,465,543.9,543.9,4.1885679955000015
15_0_1,adsrvr,0,chrome,1,476,570.9,570.9,4.539236348499999
15_0_2,adsrvr,0,chrome,2,480,581.9,581.9,2.667181118999999
15_0_3,adsrvr,0,chrome,3,481,581.6,581.6,5.081701273
15_0_4,adsrvr,0,chrome,4,502,596,596,3.333985262499999
15_0_5,adsrvr,0,chrome,5,473,572.5,572.5,4.416059875499999
15_0_6,adsrvr,0,chrome,6,489,564.3,564.3,5.0406435955
15_0_7,adsrvr,0,chrome,7,466,550.1,550.1,1.7449480469999994
15_0_8,adsrvr,0,chrome,8,466,559.7,559.7,2.0434769075
15_0_9,adsrvr,0,chrome,9,462,559.5,559.5,4.561683309999999
15_1_0,adsrvr,0,firefox,0,369,516,237,8.788313182
15_1_1,adsrvr,0,firefox,1,353,1224,211,5.2190560995
15_1_2,adsrvr,0,firefox,2,420,4995.5,254,10.890748176999995
15_1_3,adsrvr,0,firefox,3,432,596,244,5.4372362315
15_1_4,adsrvr,0,firefox,4,425,1585.1,244,8.242410023500002
15_1_5,adsrvr,0,firefox,5,363,1711.8,226,8.0691877365
15_1_6,adsrvr,0,firefox,6,442,1711.8,261,5.824410663499998
15_1_7,adsrvr,0,firefox,7,452,550.1,238,9.706720391
15_1_8,adsrvr,0,firefox,8,395,1367.7,256,6.934788312
15_1_9,adsrvr,0,firefox,9,474,743.2,274,11.904632132
16_0_0,stackexhange,0,chrome,0,1127,1496.7,1496.7,4.588869855
16_0_1,stackexhange,0,chrome,1,1081,1475.1,1475.1,5.744876541
16_0_2,stackexhange,0,chrome,2,1083,1460.7,1460.7,4.870252216999999
16_0_3,stackexhange,0,chrome,3,1135,1534.7,1534.7,4.491511355999999
16_0_4,stackexhange,0,chrome,4,1114,1496.7,1496.7,8.7529036205
16_0_5,stackexhange,0,chrome,5,1094,1518.7,1518.7,5.508995556
16_0_6,stackexhange,0,chrome,6,1189,1566,1566,8.267705215000001
16_0_7,stackexhange,0,chrome,7,1079,1456,1456,4.829414641
16_0_8,stackexhange,0,chrome,8,1109,1483.5,1483.5,6.397711793
16_0_9,stackexhange,0,chrome,9,1116,1488.6,1488.6,2.5439773565
16_1_0,stackexhange,0,firefox,0,1113,516,922,18.327238659
16_1_1,stackexhange,0,firefox,1,1085,1822.5,823,10.964770931
16_1_2,stackexhange,0,firefox,2,1167,1733.4,978,13.00625602
16_1_3,stackexhange,0,firefox,3,1238,1598.1,1048,9.1920091605
16_1_4,stackexhange,0,firefox,4,1364,1049,1181,8.296885261
16_1_5,stackexhange,0,firefox,5,1073,825,906,11.872245582
16_1_6,stackexhange,0,firefox,6,1084,2070.5,816,21.2457993815
16_1_7,stackexhange,0,firefox,7,1058,1411.4,874,14.423616433
16_1_8,stackexhange,0,firefox,8,1134,531.6,969,9.339040718
16_1_9,stackexhange,0,firefox,9,1124,681.3,961,13.6776317845
17_0_0,statcounter,0,chrome,0,1261,957.9,957.9,4.5363503745
17_0_1,statcounter,0,chrome,1,1225,1070.6,1070.6,4.743215071000001
17_0_2,statcounter,0,chrome,2,1206,1154,1154,6.4541311575
17_0_3,statcounter,0,chrome,3,1262,1129,1129,4.6916643895000005
17_0_4,statcounter,0,chrome,4,1361,1319.5,1319.5,3.917631605
17_0_5,statcounter,0,chrome,5,1223,956.6,956.6,3.446534477
17_0_6,statcounter,0,chrome,6,1173,1057.8,1057.8,3.7529642500000016
17_0_7,statcounter,0,chrome,7,1203,1143.2,1143.2,2.7344049015000005
17_0_8,statcounter,0,chrome,8,2144,1100.1,1100.1,4.3504392795
17_0_9,statcounter,0,chrome,9,1262,1201.9,1201.9,4.687203029500001
17_1_0,statcounter,0,firefox,0,1178,851.5,488,15.465884162000002
17_1_1,statcounter,0,firefox,1,1387,905.3,787,7.6987984075
17_1_2,statcounter,0,firefox,2,2110,949.7,626,8.008347358500002
17_1_3,statcounter,0,firefox,3,1306,1226.7,659,6.8712257565
17_1_4,statcounter,0,firefox,4,2321,1359.7,947,7.432006828000001
17_1_5,statcounter,0,firefox,5,2364,2487.1,767,4.919280635
17_1_6,statcounter,0,firefox,6,1371,1730.3,757,9.706500837499998
17_1_7,statcounter,0,firefox,7,1490,1390.2,644,7.83339827
17_1_8,statcounter,0,firefox,8,1306,860.7,612,12.594232629999995
17_1_9,statcounter,0,firefox,9,1252,1055.8,620,16.134954148500004
18_0_0,stumpleupon,0,chrome,0,290,590.7,590.7,4.0440996265
18_0_1,stumpleupon,0,chrome,1,293,690.1,690.1,6.093866552000002
18_0_2,stumpleupon,0,chrome,2,330,616.1,616.1,6.4283030320000005
18_0_3,stumpleupon,0,chrome,3,272,658,658,12.136724941
18_0_4,stumpleupon,0,chrome,4,336,637.4,637.4,4.9242319005000015
18_0_5,stumpleupon,0,chrome,5,292,622.9,622.9,4.849596796
18_0_6,stumpleupon,0,chrome,6,304,574.3,574.3,7.2058530495
18_0_7,stumpleupon,0,chrome,7,301,614.2,614.2,7.023967039500001
18_0_8,stumpleupon,0,chrome,8,364,679.4,679.4,6.402007798
18_0_9,stumpleupon,0,chrome,9,317,636.8,636.8,5.304192114499999
18_1_0,stumpleupon,0,firefox,0,224,647.2,219,25.563127485499997
18_1_1,stumpleupon,0,firefox,1,355,1258.5,340,23.261828861000005
18_1_2,stumpleupon,0,firefox,2,240,1451.1,221,28.998926465499995
18_1_3,stumpleupon,0,firefox,3,266,1329.8,263,22.777169965499983
18_1_4,stumpleupon,0,firefox,4,327,1822.6,267,24.840867674499997
18_1_5,stumpleupon,0,firefox,5,266,1295,250,33.11967419350002
18_1_6,stumpleupon,0,firefox,6,230,1052.8,225,24.401200205
18_1_7,stumpleupon,0,firefox,7,585,1359.7,570,25.16776053950001
18_1_8,stumpleupon,0,firefox,8,298,1794.4,254,24.2464811155
18_1_9,stumpleupon,0,firefox,9,258,2197.6,242,27.651597271999997
19_0_0,,,,,,,,10.955133773499998
19_0_1,,,,,,,,10.3588323445
19_0_2,,,,,,,,10.1422795645
19_0_3,,,,,,,,12.0216642805
19_0_4,,,,,,,,10.1545956925
19_0_5,,,,,,,,17.434637983499996
19_0_6,,,,,,,,10.747840158
19_0_7,,,,,,,,13.9691531075
19_0_8,,,,,,,,11.4094267425
19_0_9,,,,,,,,16.199232869
19_1_0,,,,,,,,16.4445282695
19_1_1,,,,,,,,16.862009015
19_1_2,,,,,,,,15.3508567545
19_1_3,,,,,,,,16.850424047
19_1_4,,,,,,,,15.3693845825
19_1_5,,,,,,,,32.241310925
19_1_6,,,,,,,,18.5423092085
19_1_7,,,,,,,,17.848592617
19_1_8,,,,,,,,14.228137292
19_1_9,,,,,,,,24.12949164
20_0_0,lijit,0,chrome,0,542,902,902,3.4525397295
20_0_1,lijit,0,chrome,1,556,933.1,933.1,4.253753039
20_0_2,lijit,0,chrome,2,551,932.6,932.6,5.397133134000001
20_0_3,lijit,0,chrome,3,512,890.8,890.8,2.1795579425
20_0_4,lijit,0,chrome,4,562,940.6,940.6,3.3202136940000004
20_0_5,lijit,0,chrome,5,559,955,955,0.0
20_0_6,lijit,0,chrome,6,597,1003.3,1003.3,0.0
20_0_7,lijit,0,chrome,7,518,879.5,879.5,2.5822029324999995
20_0_8,lijit,0,chrome,8,528,938.5,938.5,2.534258894
20_0_9,lijit,0,chrome,9,558,930.3,930.3,6.3397404225
20_1_0,lijit,0,firefox,0,444,2490.8,430,7.534328714499999
20_1_1,lijit,0,firefox,1,428,1817.9,415,9.711982308999998
20_1_2,lijit,0,firefox,2,359,2552.2,352,5.70482324
